Genus	Bla_1	Bla_2	Bla_3	Bla_4	Bla_5	Bla_6	CK_1	CK_2	CK_3	CK_4	CK_5	CK_6	Whi_4	Whi_5	Gre_7	Whi_6	Whi_7	Gre_8	Gre_1	Gre_2	Gre_3	Gre_4	Gre_5	Gre_6	Whi_1	Whi_2	Whi_3
Fungi|Ascomycota|Dothideomycetes|Pleosporales|Bambusicolaceae|Palmiascoma	0.0123213405618531	0	0	0.0616067028092656	0	0	0	0	0	0.00616067028092657	0.00616067028092657	0	0.00616067028092657	0	0	0	0	0	0	0	0	0	0.0123213405618531	0	0	0	0
Fungi|Ascomycota|Dothideomycetes|Pleosporales|Biatriosporaceae|Biatriospora	0	0	0	0	0.00616067028092657	0.0184820108427797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi|Ascomycota|Dothideomycetes|Pleosporales|Coniothyriaceae|Coniothyrium	0.0308033514046328	0.0492853622474125	0.0123213405618531	0.0616067028092656	0.0184820108427797	0.0677673730901922	0.00616067028092657	0	0	0	0	0	0	0	0.0123213405618531	0.0123213405618531	0.0308033514046328	0	0	0	0	0.00616067028092657	0.0123213405618531	0	0	0	0
Fungi|Ascomycota|Dothideomycetes|Pleosporales|Corynesporascaceae|Corynespora	0.00616067028092657	0.0246426811237063	0.0184820108427797	0.234105470675209	0	0.0677673730901922	0	0	0	0	0	0	0	0	0	0	0.00616067028092657	0	0	0	0	0	0.0123213405618531	0	0	0	0
Fungi|Ascomycota|Dothideomycetes|Pleosporales|Cucurbitariaceae|Cucurbitariaceae_gen_Incertae_sedis	0.0246426811237063	0.0246426811237063	0.00616067028092657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00616067028092657	0	0	0	0.00616067028092657	0.0184820108427797	0.0246426811237063	0	0	0
Fungi|Ascomycota|Dothideomycetes|Pleosporales|Cucurbitariaceae|Neocucurbitaria	0	0	0	0	0	0.043124691966486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00616067028092657	0	0	0	0	0
Fungi|Ascomycota|Dothideomycetes|Pleosporales|Cucurbitariaceae|Pyrenochaeta	0.0369640216855594	0.098570724494825	0	0.117052735337605	0.0184820108427797	0.357318876293741	0	0	0	0.0184820108427797	0	0	0	0.00616067028092657	0	0	0	0.00616067028092657	0	0	0	0.00616067028092657	0	0	0	0	0.00616067028092657
Fungi|Ascomycota|Dothideomycetes|Pleosporales|Cucurbitariaceae|Pyrenochaetopsis	0.0123213405618531	0.00616067028092657	0.0123213405618531	0	0	0.0184820108427797	0.160177427304091	0.123213405618531	0.0123213405618531	0.277230162641695	0.0123213405618531	0.425086249383933	0	0	0.0184820108427797	0.00616067028092657	0.0924100542138985	0.00616067028092657	0.00616067028092657	0	0.0123213405618531	0.00616067028092657	0.0246426811237063	0.0246426811237063	0.0554460325283391	0.00616067028092657	0.751601774273041
Fungi|Ascomycota|Dothideomycetes|Pleosporales|Cucurbitariaceae|unassigned	0	0	0	0.0184820108427797	0.0184820108427797	0.0554460325283391	0	0	0	0	0	0	0	0	0	0	0	0.00616067028092657	0	0	0	0	0.110892065056678	0.0369640216855594	0	0	0
Fungi|Ascomycota|Dothideomycetes|Pleosporales|Didymellaceae|Ascochyta	0.129374075899458	0.203302119270577	0.141695416461311	0.0677673730901922	0.043124691966486	0.0677673730901922	0.0308033514046328	0.00616067028092657	0	0.0184820108427797	0.0123213405618531	0.0369640216855594	0.00616067028092657	0.00616067028092657	0.00616067028092657	0.227944800394283	0.0862493839329719	0.043124691966486	0.0308033514046328	0.0123213405618531	0.0246426811237063	0.00616067028092657	0.0184820108427797	0.0123213405618531	0.0677673730901922	0.0369640216855594	0.0123213405618531
