	QiY201	QiY202	QiY204	QiY205	QiY206	taxonomy
07bfa4f513f0375df8ec836da1a03d1a	0	0	0	0	149	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Halosphaeriaceae;g__Cirrenalia
03a5309a565620ea2efd469c980b259b	0	0	0	0	10	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Brassicales;f__Brassicaceae;g__Brassica;s__Brassica_rapa_subsp._oleifera
d61afa93b12293a3087aa4f0f2d73164	0	0	0	7	0	k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Rhizopodaceae;g__Rhizopus;s__Rhizopus_arrhizus
6532e58bb245423ec6f8098d33a640ff	0	0	0	17	163	k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Cephalobidae;g__Acrobeloides;s__Acrobeloides_nanus
0d01ecedf27c94c0bd52244271047e95	0	0	180	0	0	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus
5d76eeaec3876afdb533332a2ccc9dcb	0	130	0	0	23	k__Eukaryota_kgd_Incertae_sedis
da7c6af3b999c9d0496d3d449ea11a7f	221	0	0	0	0	k__Viridiplantae;p__Chlorophyta;c__Trebouxiophyceae;o__Prasiolales;f__Prasiolaceae;g__Stichococcus;s__Stichococcus_bacillaris
c7f4500a64aaa255e4b4c1b4c7e7197c	213	0	0	0	0	k__Eukaryota_kgd_Incertae_sedis
52e9ed875b884b6e82628c107f2d023c	0	13	60	10	24	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Rosales;f__Rosaceae;g__Malus
6184bd85df732d4b3fa785a6f0e64514	0	0	0	0	146	k__Alveolata;p__Ciliophora;c__Litostomatea;o__Haptorida;f__Acropisthiidae;g__Fuscheria;s__Fuscheria_sp
35355b74541cb5055dc5b21934c0c1bf	0	0	0	0	3	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales
3ebba75f34dfc509996fd0d3eaec834a	94	6	115	0	0	k__Viridiplantae;p__Chlorophyta;c__Chlorophyceae;o__Chlamydomonadales;f__Chlorosarcinaceae;g__Chlorosarcinopsis;s__Chlorosarcinopsis_eremi
7ded3a02e48b9037e0e0ed899f9b2f68	0	2	0	0	0	k__Viridiplantae;p__Chlorophyta;c__Trebouxiophyceae;o__Prasiolales;f__Prasiolaceae;g__Stichococcus;s__Stichococcus_mirabilis
4340daab52d31a74d98a32e14850c953	0	3	0	0	0	k__Heterolobosa;p__Heterolobosa_phy_Incertae_sedis;c__Heterolobosea;o__Schizopyrenida;f__Vahlkampfiidae;g__Allovahlkampfia;s__Allovahlkampfia_sp
a44688ccba518a9128f9b959a38881cc	207	8	0	0	0	k__Viridiplantae;p__Chlorophyta;c__Ulvophyceae;o__Ulvophyceae_ord_Incertae_sedis;f__Ulvophyceae_fam_Incertae_sedis;g__Desmochloris;s__Desmochloris_sp
1cdd7524fd92bdc6e8ec6f3faadcb627	0	0	0	174	0	k__Alveolata;p__Ciliophora
4d50a3f78d4036ebb3d5abf7f9cd4b74	148	20	17	0	0	k__Viridiplantae;p__Chlorophyta;c__Ulvophyceae;o__Ulvophyceae_ord_Incertae_sedis;f__Ulvophyceae_fam_Incertae_sedis;g__Desmochloris;s__Desmochloris_sp
b99ad590df59ddf3413eabdc4c9a5818	0	0	0	163	0	k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis;o__Pezizomycotina_ord_Incertae_sedis;f__Pezizomycotina_fam_Incertae_sedis;g__Ciliophora;s__Ciliophora_sp
8c707734e4bd5cfc2f816d96dbd5cbaa	0	4	49	0	0	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_parapsilosis
51a0063b488d47da7eae8a6eb76e832f	0	0	222	0	0	k__Viridiplantae
67d02642d7bc6a8a77cba46753df8813	0	0	9	0	0	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales
3e87d81318e4ac63f5e6c117fc8335b4	0	0	0	0	2	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariaceae;g__Creosphaeria;s__Creosphaeria_sassafras
20376124db49aeaef3c3055f89f3823c	0	0	6	0	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma
0bdc81f9531fbea58efaadb4c47c9de5	0	126	0	0	0	k__Alveolata;p__Ciliophora;c__Litostomatea;o__Haptorida;f__Acropisthiidae;g__Fuscheria;s__Fuscheria_sp
f425c0b09fa7c72476168b59d68cf35c	0	115	0	0	0	k__Alveolata;p__Ciliophora;c__Spirotrichea;o__Sporadotrichida;f__Trachelostylidae;g__Gonostomum;s__Gonostomum_sp
412fbf67274941e9657894641144c854	0	0	0	143	0	k__Alveolata;p__Ciliophora
d63224b555282ecd5f3b61e521d0f211	0	0	0	0	40	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Humicola;s__Humicola_phialophoroides
cd068f9c9d4b824f814ca9790e1f4b06	0	0	3	0	0	k__Viridiplantae;p__Chlorophyta
f8831c33f437060681c8ddea81667692	0	0	0	0	87	k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Cephalobidae;g__Acrobeloides;s__Acrobeloides_nanus
a681f2ac17840580e989c11489cbce10	0	93	0	0	3	k__Eukaryota_kgd_Incertae_sedis
16f01b367e52e469055a75ac2e47f7fa	0	0	2	114	0	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__Peziza;s__Peziza_oceanica
270883e6ac07e2968629a6de7ce390aa	0	0	10	0	4	k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Rhizopodaceae;g__Rhizopus;s__Rhizopus_arrhizus
e7ef570cf0fd6a2f6b5720c199bbdc16	0	69	0	0	15	k__Eukaryota_kgd_Incertae_sedis
