Genus	Bla_1	Bla_2	Bla_3	Bla_4	Bla_5	Bla_6	CK_1	CK_2	CK_3	CK_4	CK_5	CK_6	Whi_4	Whi_5	Gre_7	Whi_6	Whi_7	Gre_8	Gre_1	Gre_2	Gre_3	Gre_4	Gre_5	Gre_6	Whi_1	Whi_2	Whi_3
Bacteria|Acidobacteriota|Acidobacteriae|unknown|unknown|unknown	0.00718752246100769	0.0143750449220154	0.0431251347660461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00718752246100769	0.00718752246100769	0.0215625673830231	0	0	0	0.0143750449220154	0.00718752246100769	0.00718752246100769
Bacteria|Acidobacteriota|Blastocatellia|11-24|11-24|11-24	0.0431251347660461	0.0287500898440308	0.0431251347660461	0.0143750449220154	0	0.00718752246100769	0.718752246100769	0.0790627470710846	0.0143750449220154	0.115000359376123	0.172500539064185	0.323438510745346	0.00718752246100769	2.70250844533889	0.0503126572270538	0	0.0287500898440308	0.251563286135269	0.0143750449220154	0.0215625673830231	0.158125494142169	1.43031696974053	1.30094156544239	2.00531876662115	0.0143750449220154	0	0
Bacteria|Acidobacteriota|Blastocatellia|Blastocatellales|Blastocatellaceae|Aridibacter	0.0287500898440308	0.0359376123050385	0	0.00718752246100769	0	0	0.00718752246100769	0.0143750449220154	0	0.00718752246100769	0.0503126572270538	0.0143750449220154	0.0431251347660461	0.194063106447208	0.0431251347660461	0.0287500898440308	0.0575001796880615	0.1868755839862	0.0143750449220154	0	0.0503126572270538	0.194063106447208	0.172500539064185	0.107812836915115	0.0790627470710846	0.0215625673830231	0
Bacteria|Acidobacteriota|Blastocatellia|Blastocatellales|Blastocatellaceae|Blastocatella	0.323438510745346	0.416876302738446	0.208438151369223	0.0215625673830231	0	0	0.0934377919931	0.0503126572270538	0.0143750449220154	0.0862502695320923	0.488751527348523	0.165313016603177	0.0575001796880615	2.75282110256595	1.23625386329332	0.0790627470710846	0.316250988284338	2.11313160353626	0.0862502695320923	0.251563286135269	0.531876662114569	2.64500826565083	3.24876015237548	5.08157837993244	0.323438510745346	0.0575001796880615	0.409688780277438
Bacteria|Acidobacteriota|Blastocatellia|Blastocatellales|Blastocatellaceae|Blastocatellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.876877740242938	0	0	0	0	0	0	0	0	0	0
Bacteria|Acidobacteriota|Blastocatellia|Blastocatellales|Blastocatellaceae|JGI_0001001-H03	0.00718752246100769	0.0143750449220154	0.00718752246100769	0.0215625673830231	0	0	0	0	0	0.0503126572270538	0	0.00718752246100769	0.00718752246100769	0.0646877021490692	0.00718752246100769	0	0	0.00718752246100769	0	0	0.0503126572270538	0.0359376123050385	0.0646877021490692	0.0143750449220154	0.00718752246100769	0	0
Bacteria|Acidobacteriota|Blastocatellia|Blastocatellales|Blastocatellaceae|Stenotrophobacter	0.452813915043485	0.416876302738446	0.251563286135269	0.136562926759146	0.0143750449220154	0.251563286135269	0.00718752246100769	0.00718752246100769	0	0.00718752246100769	0	0.0503126572270538	0	0.00718752246100769	0.0575001796880615	0	0.237188241213254	0.0934377919931	0.0934377919931	0.0503126572270538	0.158125494142169	0.0215625673830231	0.0862502695320923	0.0287500898440308	0.258750808596277	0.107812836915115	0.0287500898440308
Bacteria|Acidobacteriota|Blastocatellia|Blastocatellales|Blastocatellaceae|uncultured	1.01344066700208	1.20031625098828	1.48781714942859	0.165313016603177	0	0.150937971681161	0.115000359376123	0.00718752246100769	0	0.0359376123050385	0.107812836915115	0.00718752246100769	0.0575001796880615	0.6540645439517	0.769064903327823	0	0.0646877021490692	0.991878099619061	0.143750449220154	0.143750449220154	0.481564004887515	0.0862502695320923	0.2803133759793	0.388126212894415	0.409688780277438	0.115000359376123	0.0934377919931
Bacteria|Acidobacteriota|Blastocatellia|Blastocatellales|Blastocatellaceae|unknown	0	0	0	0	0	0	0	0	0	0	0	0	0.0359376123050385	0.0287500898440308	0	0	0	0.00718752246100769	0	0	0.0287500898440308	0.0287500898440308	0	0.0143750449220154	0	0	0
Bacteria|Acidobacteriota|Blastocatellia|DS-100|DS-100|DS-100	0	0	0	0	0	0	0.1868755839862	0.0575001796880615	0.00718752246100769	0.158125494142169	0.0646877021490692	0.0575001796880615	0.0143750449220154	0.00718752246100769	0	0	0	0	0	0	0	0.0646877021490692	0.0143750449220154	0.0287500898440308	0	0	0
