Bla_1	Bla_2	Bla_3	Bla_4	Bla_5	Bla_6	CK_1	CK_2	CK_3	CK_4	CK_5	CK_6	Whi_4	Whi_5	Gre_7	Whi_6	Whi_7	Gre_8	Gre_1	Gre_2	Gre_3	Gre_4	Gre_5	Gre_6	Whi_1	Whi_2	Whi_3	Taxonomy
ASV_1054	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	44	1	1	0	0	0	d:Bacteria,p:Acidobacteriota,c:Blastocatellia,o:Pyrinomonadales,f:Pyrinomonadaceae,g:RB41,s:uncultured_bacterium
ASV_1055	0	0	0	0	0	0	16	19	0	7	3	6	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Acetobacterales,f:Acetobacteraceae,g:Craurococcus-Caldovatus,s:uncultured_bacterium
ASV_1056	0	0	0	0	0	0	1	5	20	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:uncultured,g:uncultured,s:uncultured_bacterium
ASV_1057	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingobium,s:Sphingobium_sp.
ASV_1058	0	0	1	0	0	0	0	0	0	1	8	0	0	0	1	0	0	0	0	0	0	13	12	15	0	0	1	d:Bacteria,p:Actinobacteriota,c:Thermoleophilia,o:Solirubrobacterales,f:Solirubrobacteraceae
ASV_1059	0	0	0	0	0	0	0	0	0	0	0	0	7	1	1	0	1	2	0	1	2	0	0	0	27	1	1	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Novosphingobium,s:uncultured_bacterium
ASV_106	87	13	35	0	0	1	0	0	0	0	9	0	1	9	9	0	0	25	30	11	21	22	22	39	24	6	60	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,s:uncultured_bacterium
ASV_1060	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	16	18	13	0	0	0	d:Bacteria,p:Actinobacteriota,c:Rubrobacteria,o:Rubrobacterales,f:Rubrobacteriaceae,g:Rubrobacter,s:uncultured_bacterium
ASV_1061	0	0	0	0	0	0	0	0	0	0	0	0	8	14	0	0	656	0	0	2	13	3	0	0	0	1	0	d:Bacteria,p:Actinobacteriota,c:Actinobacteria,o:Pseudonocardiales,f:Pseudonocardiaceae,g:Pseudonocardia,s:Pseudonocardia_sp.
ASV_1062	0	0	1	0	0	0	0	0	0	0	0	0	0	16	6	2	8	19	16	6	7	0	0	0	22	10	1	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:D05-2,g:D05-2,s:uncultured_bacterium
ASV_1063	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	33	2	7	2	0	0	0	0	1	35	d:Bacteria,p:Patescibacteria,c:Saccharimonadia,o:Saccharimonadales,f:Saccharimonadales,g:Saccharimonadales,s:uncultured_bacterium
ASV_1064	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	18	16	1	0	0	0	0	7	4	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Novosphingobium,s:uncultured_bacterium
ASV_1065	10	13	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	6	1	1	d:Bacteria,p:Actinobacteriota,c:Actinobacteria,o:Pseudonocardiales,f:Pseudonocardiaceae,g:Pseudonocardia
ASV_1066	5	3	1	0	1	0	0	0	0	0	0	0	0	8	3	0	0	6	15	15	1	5	13	12	0	0	2	d:Bacteria,p:Actinobacteriota,c:Rubrobacteria,o:Rubrobacterales,f:Rubrobacteriaceae,g:Rubrobacter,s:uncultured_bacterium
ASV_1067	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	12	15	9	0	0	0	d:Bacteria,p:Nitrospirota,c:Nitrospiria,o:Nitrospirales,f:Nitrospiraceae,g:Nitrospira,s:uncultured_Nitrospiraceae
ASV_1068	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d:Bacteria,p:Actinobacteriota,c:Rubrobacteria,o:Rubrobacterales,f:Rubrobacteriaceae,g:Rubrobacter,s:uncultured_bacterium
ASV_1069	0	2	0	0	0	0	3	0	11	2	4	12	9	4	2	0	2	1	1	0	1	1	4	2	0	2	1	d:Bacteria,p:Cyanobacteria,c:Cyanobacteriia,o:Chloroplast,f:Chloroplast,g:Chloroplast,s:Vischeria_sp.
ASV_107	0	1	4	1	16	2	0	0	0	1	0	0	0	1	10	1	6	7	3	2	7	0	1	0	41	181	41	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Caulobacterales,f:Caulobacteraceae,g:Brevundimonas,s:Brevundimonas_sp.
ASV_1070	2	4	4	0	0	0	0	2	3	3	2	0	4	1	2	0	1	1	0	1	6	0	0	0	9	1	0	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodobacterales,f:Rhodobacteraceae,g:uncultured,s:uncultured_Alphaproteobacteria
ASV_1071	3	3	3	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	5	17	2	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Rhizobiaceae
ASV_1072	3	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	8	6	0	0	0	5	1	13	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Caulobacterales,f:Caulobacteraceae,g:Brevundimonas,s:uncultured_bacterium
ASV_1073	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	3	0	4	9	4	5	0	12	d:Bacteria,p:Planctomycetota,c:Phycisphaerae,o:Tepidisphaerales,f:WD2101_soil_group,g:WD2101_soil_group,s:uncultured_bacterium
ASV_1074	8	17	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	9	0	2	0	5	1	0	d:Bacteria,p:Actinobacteriota,c:Thermoleophilia,o:Solirubrobacterales,f:Solirubrobacteraceae,g:Solirubrobacter,s:uncultured_bacterium
ASV_1075	0	6	10	0	0	3	1	0	0	0	0	1	0	5	2	2	3	6	15	9	7	1	4	2	4	4	15	d:Bacteria,p:Actinobacteriota,c:Actinobacteria,o:Frankiales,f:Geodermatophilaceae,g:Blastococcus,s:uncultured_bacterium
ASV_1076	0	0	1	0	0	0	1	9	3	6	8	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	d:Bacteria,p:Actinobacteriota,c:Thermoleophilia,o:Solirubrobacterales,f:Solirubrobacteraceae,g:Solirubrobacter,s:uncultured_bacterium
ASV_1077	1	0	0	0	0	0	0	3	2	7	4	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d:Bacteria,p:Chloroflexi,c:Chloroflexia,o:Thermomicrobiales,f:JG30-KF-CM45,g:JG30-KF-CM45,s:uncultured_Chloroflexi
ASV_1078	0	2	0	0	0	0	1	5	0	4	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	15	7	d:Bacteria,p:Actinobacteriota,c:Actinobacteria,o:Propionibacteriales,f:Nocardioidaceae,g:Nocardioides,s:Nocardioides_aquaticus
ASV_1079	0	0	0	1	0	0	9	9	0	19	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	d:Bacteria,p:Actinobacteriota,c:Actinobacteria,o:Propionibacteriales,f:Nocardioidaceae,g:Nocardioides,s:Nocardioides_lentus
ASV_108	2	14	2	1	0	0	2	11	6	13	0	4	2	15	22	0	32	51	5	19	63	1	2	0	55	48	61	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingomonas,s:uncultured_bacterium
ASV_1080	6	2	4	0	0	0	1	1	0	1	2	0	0	0	0	0	0	4	1	6	9	2	3	9	5	0	5	d:Bacteria,p:Actinobacteriota,c:Thermoleophilia,o:Solirubrobacterales,f:Solirubrobacteraceae,g:Solirubrobacter,s:uncultured_bacterium
ASV_1081	1	1	0	0	0	0	8	2	0	6	0	7	4	1	0	0	0	0	0	0	0	15	7	1	0	0	0	d:Bacteria,p:Actinobacteriota,c:Thermoleophilia,o:Solirubrobacterales,f:Solirubrobacteraceae,g:Solirubrobacter,s:uncultured_bacterium
ASV_1082	10	7	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	13	4	1	0	1	6	1	3	14	d:Bacteria,p:Chloroflexi,c:Chloroflexia,o:Kallotenuales,f:AKIW781,g:AKIW781,s:uncultured_bacterium
ASV_1083	1	1	16	0	5	11	0	0	1	0	28	0	1	0	1	0	0	0	0	0	0	0	0	0	5	0	0	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:uncultured
ASV_1084	0	0	0	0	0	0	0	6	30	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d:Bacteria,p:Planctomycetota,c:Planctomycetes,o:Gemmatales,f:Gemmataceae,g:uncultured,s:uncultured_bacterium
ASV_1085	0	0	0	0	0	0	0	0	40	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d:Bacteria,p:Actinobacteriota,c:Thermoleophilia,o:Solirubrobacterales,f:Solirubrobacteraceae,g:Solirubrobacter,s:uncultured_bacterium
ASV_1086	3	1	13	7	1	26	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	4	1	1	0	0	d:Bacteria,p:Chloroflexi,c:Chloroflexia,o:Thermomicrobiales,f:AKYG1722,g:AKYG1722,s:uncultured_Chloroflexi
ASV_1087	5	4	1	4	0	0	1	1	0	0	4	0	3	0	1	0	0	2	1	3	1	0	1	0	6	1	2	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Alphaproteobacteria_Incertae_Sedis,f:Unknown_Family,g:Acuticoccus,s:uncultured_bacterium
